,location.postalCode,location.lat,location.lng,categories
25,M5A,43.65311455793185,-79.35917026487203,Automotive Shop
26,M5A,43.652759709332685,-79.36025435326364,Automotive Shop
27,M5A,43.65269781150826,-79.36045720286914,Dentist's Office
28,M5A,43.65331304337331,-79.35972538072777,Gym / Fitness Center
29,M5A,43.655393,-79.35854,Hospital
30,M5A,43.653446,-79.36224,Mediterranean Restaurant
31,M4E,43.652106879173516,-79.3611721607108,Monument / Landmark
32,M5A,43.6533977758939,-79.3630955625892,Advertising Agency
33,M5A,43.655254,-79.358415,Auto Dealership
34,M5A,43.65287311275056,-79.36167245046332,History Museum
35,M5A,43.65465395413889,-79.36250077861264,Dog Run
36,M5A,43.655682,-79.361865,Daycare
37,M5A,43.65492,-79.359371,Sculpture Garden
38,M5A,43.652206605783974,-79.36093304497115,Residential Building (Apartment / Condo)
39,M5A,43.65411,-79.360976,Art Gallery
40,M5A,43.653946942635294,-79.36114884214422,Breakfast Spot
41,M5A,43.654241672461424,-79.36085318020055,Building
42,M5A,43.65309196622969,-79.36193660953931,Church
43,M5A,43.65332390802142,-79.36317951289328,Furniture / Home Store
44,M5A,43.653361,-79.362061,Medical Center
45,M5A,43.65390613999999,-79.361147,Sandwich Place
47,M5A,43.656385,-79.360753,Rental Car Location
48,M5A,43.65333396303207,-79.35983777046204,Design Studio
49,M5A,43.65364665307943,-79.35787780917855,Food Truck
50,M5A,43.653844,-79.361283,Coffee Shop
51,M5A,43.65533281642919,-79.36281104328157,Assisted Living
52,M5A,43.655346,-79.35877,Veterinarian
53,M5A,43.653851,-79.367689,Hardware Store
54,M5A,43.653014,-79.363009,Shipping Store
55,M5A,43.65335432,-79.36248511,Office
57,M5A,43.65398407982623,-79.36127007007599,Office
58,M5A,43.654126,-79.360682,Arts & Crafts Store
61,M5A,43.655394,-79.360309,Office
64,M5A,43.65483,-79.357985,City Hall
65,M5A,43.65240276128636,-79.36032521004981,Automotive Shop
66,M5A,43.653332,-79.362954,Conference Room
69,M5A,43.6531490637742,-79.3627333765399,Coworking Space
71,M5A,43.653426,-79.360302,Building
72,M5A,43.654985,-79.361327,Other Great Outdoors
73,M5A,43.65444,-79.35983,Office
74,M5A,43.65502174768063,-79.35996772855465,Office
75,M5A,43.654906,-79.359453,Design Studio
76,M5A,43.6543,-79.36001,Office
77,M5A,43.652932,-79.360675,Office
78,M5A,43.652601,-79.36128971,Office
79,M3H,43.65477003252322,-79.35969829559326,Italian Restaurant
81,M5A,43.653874,-79.361783,Automotive Shop
82,M5A,43.654114,-79.36125,Men's Store
83,M5A,43.65476308603427,-79.35951125018187,Italian Restaurant
84,M5A,43.655407,-79.358705,Office
85,M5A,43.652828,-79.360842,Office
86,M5A,43.65348,-79.36251,Office
87,M5A,43.653698805562236,-79.35921549797058,Historic Site
88,M5A,43.65396193810649,-79.36108966585638,Art Gallery
89,M5A,43.653252,-79.359548,Automotive Shop
90,M3H,43.65396273281939,-79.3597412109375,Assisted Living
91,M5A,43.652297,-79.360428,Sporting Goods Shop
92,M5A,43.653307,-79.363116,Office
93,M5A,43.653285152656835,-79.3625580632978,Office
94,M5A,43.652788,-79.360739,Bar
95,M5A,43.654681262392735,-79.35920876327621,Trade School
96,M5A,43.65390281374826,-79.35942875385084,High School
98,M5A,43.658366857795265,-79.34977828969205,Office
